investor_id,average_gap_days,max_gap_days,status
INV000001,38.0,71.0,at-risk
INV000002,82.8,114.0,at-risk
INV000003,238.0,238.0,at-risk
INV000004,53.375,265.0,at-risk
INV000005,52.0,167.0,at-risk
INV000006,99.0,295.0,at-risk
INV000007,104.5,177.0,at-risk
INV000008,50.285714285714285,107.0,at-risk
INV000009,80.83333333333333,162.0,at-risk
INV000010,32.8,121.0,at-risk
INV000011,45.2,122.0,at-risk
INV000012,41.4,104.0,at-risk
INV000013,36.888888888888886,99.0,at-risk
INV000014,47.1,119.0,at-risk
INV000015,127.0,127.0,at-risk
INV000016,87.5,122.0,at-risk
INV000017,131.33333333333334,264.0,at-risk
INV000018,110.33333333333333,234.0,at-risk
INV000019,136.66666666666666,406.0,at-risk
INV000020,57.8,122.0,at-risk
INV000021,75.4,137.0,at-risk
INV000022,95.8,178.0,at-risk
INV000023,45.55555555555556,115.0,at-risk
INV000024,43.285714285714285,167.0,at-risk
INV000025,,,active
INV000026,72.33333333333333,145.0,at-risk
INV000027,58.5,140.0,at-risk
INV000028,58.5,232.0,at-risk
INV000029,36.4,71.0,at-risk
INV000030,38.27272727272727,92.0,at-risk
INV000031,85.0,262.0,at-risk
INV000032,67.71428571428571,166.0,at-risk
INV000033,46.2,87.0,at-risk
INV000034,52.0,62.0,at-risk
INV000035,144.0,144.0,at-risk
INV000036,99.0,99.0,at-risk
INV000037,62.5,126.0,at-risk
INV000038,64.16666666666667,183.0,at-risk
INV000039,52.857142857142854,94.0,at-risk
INV000040,51.55555555555556,118.0,at-risk
INV000041,68.6,144.0,at-risk
INV000042,17.0,31.0,active
INV000043,181.0,286.0,at-risk
INV000044,89.0,290.0,at-risk
INV000045,39.22222222222222,70.0,at-risk
INV000046,72.0,292.0,at-risk
INV000047,60.5,115.0,at-risk
INV000048,36.8,120.0,at-risk
INV000049,247.5,425.0,at-risk
INV000050,71.5,129.0,at-risk
INV000051,63.2,167.0,at-risk
INV000052,46.0,129.0,at-risk
INV000053,7.0,7.0,active
INV000054,56.0,103.0,at-risk
INV000055,36.36363636363637,107.0,at-risk
INV000056,66.85714285714286,161.0,at-risk
INV000057,34.8,65.0,at-risk
INV000058,56.833333333333336,121.0,at-risk
INV000059,,,active
INV000060,90.0,90.0,at-risk
INV000061,67.25,179.0,at-risk
INV000062,66.28571428571429,148.0,at-risk
INV000063,218.0,403.0,at-risk
INV000064,,,active
